CUST_ID,CUST_F_NAME,CUST_M_NAME,CUST_L_NAME,CUST_SSN,CUST_STREET,CUST_CITY,CUST_STATE,CUST_COUNTRY,CUST_ZIP,CUST_PHONE,CUST_EMAIL
1,Aarush,Kumar,Saini,466850019,56,Gurugram,Haryana,India,461290,8273462690,qdooney0@51.la
2,Upkaar,,Arora,633221265,54,Jalandar,Punjab,India,884220,7793714114,gfairburne1@comsenz.com
3,Ansh,,Shah,854801076,85,Nalanda,Bihar,India,976231,2291241663,mmatuszkiewicz2@desdev.cn
4,Harish,,Menon,120481493,68,Itanagar,Arunachal Pradesh,India,429966,1255121422,sgert3@t-online.de
5,Mitesh,,Kapoor,437229117,94,Agartala,Tripura,India,397593,1221047615,npinke4@studiopress.com
6,Baljiwan,,Guha,284454500,23,Raipur,Chhattisgarh,India,468469,9756917238,bfucher5@dailymotion.com
7,Naveen,,Chaturvedi,580896446,71,Bhopal,Madhya Pradesh,India,455414,5029947365,rmandres6@washington.edu
8,Gautam,,Roy,252984327,47,Srinagar,Jammu and Kashmir,India,804585,8275464411,ccawthry7@360.cn
9,Champak,Lal,Acharya,737983104,27,Itanagar,Arunachal Pradesh,India,598484,5031184231,swrenn8@amazon.com
10,Jatin,,Rangan,659187513,86,Gandhinagar,Gujarat,India,492644,3138363755,egoolden9@wp.com
11,Aarav,,Tambe,117895191,76,Patna,Bihar,India,795480,6517359963,amaggiorea@ox.ac.uk
12,Brijesh,,Subramaniam,670813065,31,Agartala,Tripura,India,458221,8216788601,bstolbergb@webeden.co.uk
13,Siddharth,,Sengupta,803488959,50,Bhopal,Madhya Pradesh,India,109118,6242895518,mmulcahyc@instagram.com
14,Vedant,,Bhatnagar,440034091,16,Visakhapatnam,Andhra Pradesh,India,620766,9967880108,minglesantd@csmonitor.com
15,Shaurya,,Mitra,898262325,70,Panaji,Goa,India,805244,6196988591,elejeane@google.com.br
16,Yagnesh,,Bhattacharya,591266906,57,Kochi,Kerala,India,925165,5222454702,bdudleyf@virginia.edu
17,Balendra,,Arora,692238805,97,Kochi,Kerala,India,807144,9489345231,ehantong@japanpost.jp
18,Rushil,,Sarin,796779737,53,Kanpur,Uttar Pradesh,India,500650,6552943424,ahorburghh@ehow.com
19,Onveer,,Das,646327456,12,Gangtok,Sikkim,India,130883,4912302713,bwakelyi@nba.com
20,Lakshay,,Jayaraman,587565203,28,Warangal,Telangana,India,506681,7007213907,jhaughanj@go.com
